step_order,x_t,y_t,z_t,x_dif,y_dif,z_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0,634.8493244673185,211.3757773586563,111.69111585797529,5.155275532681458,9.049912641343695,-10.672262857975397,17.006145096166893,40.55940300038585,2.272547942153488,111.9812391711607,-179.3524220385994,44.82333594684642,-86.84369658435797
1,594.5623594408723,234.5742048886636,78.6502651264849,9.58724555912761,6.552897111336421,-6.292495126484894,36.391212390111455,46.40500656678568,-15.323958083805094,117.61443651129898,-141.57831407320208,69.57481888374063,-101.52928680792873
2,670.1188435035069,102.1891540712443,40.0543533969797,10.556923496493027,1.1384149287556937,-15.2684593969797,45.831080931347316,88.22610130670077,-92.33030421959808,114.29953401173393,-176.09016553685686,69.541024228702,-6.769438939099604
3,741.2544144129574,56.6791197809981,53.9927496053334,8.200133587042615,2.3004872190019015,-11.7986056053334,27.526860358927905,58.14060927704527,-41.11857755090967,99.40432099087037,9.775945014674763,-47.93724078387923,119.64652552599195
4,759.8712401949329,103.70359300515341,102.3753369817946,10.204487805067174,0.516535994846592,-11.83981798179461,28.243582947843787,56.07768424677614,-41.0497998690695,93.99227447345447,-3.5819645450028315,-53.83230023368981,116.78504337625245
5,697.9530042373212,109.5593750444639,148.9767046374239,9.461098762678716,9.047898955536098,-10.356140637423891,-27.248351705363216,72.5462129597146,83.57517771121039,105.13100550531318,-11.283192427731098,-61.550781823685966,15.50202431379859
6,649.072228673626,92.3893185592018,212.1712703318909,9.369410326374009,4.474219440798208,-13.348368331890896,-31.443783021049317,55.97963844836621,82.24789129957605,107.81682441005199,39.4013295894862,-48.8625614923671,15.027943506951097
7,648.792806424271,80.10114149086161,220.5956390161653,9.40752257572899,3.5828775091383847,-15.606378016165309,-31.34493084183851,53.05018259116465,78.08565498130022,108.96930649771629,32.47579586214611,-53.87178309912695,10.120639002535544
8,798.3771612954415,34.8673429310545,157.7210539935498,10.024750704558528,-4.549470931054504,-16.66430299354988,-4.700050429239383,52.11771807299975,22.11800395592374,82.06875329473098,28.41489337517912,-61.844027581994986,60.75331137596982
9,803.232814177808,100.5839034024949,28.502292166023903,5.936748822192044,-4.340938402494899,-16.762613166023904,3.363459641378355,58.849639048124835,16.65903437232625,79.7437151992753,52.88954877397535,-48.11122199668078,38.070813873126944
10,787.6656825071366,194.79003205279142,10.0152462433952,6.333013492863415,-3.6082310527914103,-18.1273972433952,8.339204813858977,61.33882628602608,20.05939266759837,81.25200934892756,40.71246718566478,-55.808278517477376,50.86206003741947
11,710.4810811024355,381.8859446440584,107.41168366404851,9.668086897564535,-0.05924664405836211,-16.307313664048507,19.433104075488327,54.042431416434226,24.205531736620006,81.72469781103709,35.52655897398633,-45.872091244970505,44.08538063066279
12,735.6818108018066,126.66674819133338,385.3587724201577,14.726319198193437,-0.32026019133337513,-13.75310842015773,5.37707896047484,36.66358449380295,17.78455146186987,72.72881094209289,46.96682193708303,-49.31335528906819,39.47980549874143
13,768.4998162892176,-89.5822149496458,368.6711728631948,13.04530271078238,4.887996949645796,-15.202486863194792,-27.261356987875995,43.34976991507263,43.562775397892096,61.69735416796294,27.331399015682678,10.707269461418912,42.08649692662038
14,790.7620296301877,-90.9254442597073,169.2543021074128,9.149469369812323,7.002805259707316,-15.789087107412797,-33.69953797129798,58.96061043061824,60.2034084284868,79.85082811208895,19.550733514040054,-17.85312614476322,33.30490687277432
15,735.2574175871057,-90.5485651441775,162.9888600710111,10.140754412894353,5.068871144177507,-15.030818071011083,-38.22959778148311,57.24826715980844,62.626754851614166,95.66823074168157,5.49062613203204,-38.376904600357676,27.661418580381905
16,744.3232144315413,-128.8481989779371,22.6405656015937,7.486773568458716,5.9572509779371075,-13.987199601593701,-39.7329581915615,67.36898654832265,59.60266143544701,94.81764189244086,9.638227905008867,-29.937590251406476,30.479916061232
17,669.7971867317402,-256.65340848621884,15.718413092326502,11.104140268259812,4.018237486218851,-8.621734092326502,-56.140595929413976,83.92667849497312,77.6209913087735,104.61757664999774,-27.939160043458912,-62.59589236538789,35.321343769124134
18,654.6264950747998,-201.7589749061077,212.9689300721048,9.383469925200188,-2.5116600938922886,-13.924905072104792,-51.564654403839896,48.18071587576486,62.982564507179376,102.53298968977654,18.560641244615574,-33.45449818896962,23.541174797277442
19,736.5041352018363,-403.6514802990727,172.2452103241235,13.682938798163718,2.9415442990727456,-12.733562324123483,-55.51199906223469,71.07610942648834,76.76088843804887,70.50487262468674,-11.13814947969666,-25.343065240817786,26.89692460397296
